pitch_angle,yaw_angle
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
-0.25,5.75
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-0.25
0,-1
0.25,-2.25
1.5,-3.75
4.5,-5.75
9.5,-8
16,-10.25
22.75,-11.75
29,-13
33.75,-13.5
36.5,-13.5
37.5,-13.25
36.75,-12.25
35,-10.75
32.5,-9.25
30.25,-8
29.25,-7.25
29.75,-6.75
31.75,-6.75
35.5,-7.25
40.25,-8
45.25,-8.25
48.75,-8.25
50.5,-7.75
50.5,-6.75
49.75,-5.5
48,-3.75
47,-2.25
47,-1.5
48,-1
50,-1
53,-1
56.5,-1.5
59.5,-1.5
60.75,-1.25
60.75,-0.75
60,0
59,0.75
58,1.5
57.5,1.5
58,0.75
59.25,-0.25
61.5,-1.75
63.5,-3.25
64.25,-4.5
64,-5.25
63.5,-5.5
62.75,-5.75
61.5,-5.5
61.25,-5.75
61.75,-6.25
62.75,-7.25
64.25,-8.5
65,-9.5
65,-10
64.5,-10.25
63.75,-9.75
63,-9.25
62.25,-8.5
62.5,-8
63,-7.75
63.5,-7.75
63.5,-7.5
63.5,-7
63.25,-6.25
62.75,-5.25
62.25,-4
62,-3.5
62.5,-3
63,-3
63.5,-3.25
63.5,-3.25
63.25,-2.75
63,-2.25
62.75,-1.5
62.75,-1.25
62.75,-1.25
62.75,-1.5
62.75,-1.75
62.75,-2.25
62.75,-2.5
62.75,-3
62.75,-3.25
62.5,-3.5
62.5,-3.75
62.5,-3.5
62.5,-3.25
62.5,-3
62.25,-2.25
62.25,-1.75
62,-1
62,-0.75
62,-0.5
62,-0.5
62,-0.75
62,-1
62,-1.25
62,-1.5
62,-1.5
62,-1.75
62,-2
62,-2.25
62,-2.25
62,-2
62,-1.75
62,-1.25
62,-0.75
62,-0.25
62,0.25
62,0.75
62,1.25
62,1.75
62,2
