V,I_pitch,I_yaw
13.85,3.01,1.84
15.01,2.92,1.83
14.73,2.96,1.78
15.16,3,1.78
14.63,3.01,1.86
14.66,3.06,1.91
13.95,3.02,1.8
13.92,3.01,1.8
13.62,3.01,1.88
13.72,2.95,1.81
6.51,0,0
5.65,0,0
5.16,0,0
4.96,0,0
5.06,0,0
5.29,0,0
5.37,0,0
5.67,0,0
5.57,0,0
5.49,0,0
5.42,0,0
5.27,0,0
5.04,0,0
4.76,0,0
4.53,0,0
4.4,0,0
3.95,0,0
4.03,0,0
4.38,0,0
4.25,0,0
4.43,0,0
4.78,0,0
5.01,0,0
5.16,0,0
5.37,0,0
5.24,0,0
5.16,0,0
4.99,0,0
4.68,0,0
4.63,0,0
4.53,0,0
4.15,0,0
4.05,0,0
4.05,0,0
3.95,0,0
4.3,0,0
4.53,0,0
4.89,0,0
15.8,0,0
15.8,0,1.29
14.58,2.47,3.5
12.25,5.96,5.88
10.68,9.69,3.19
9.92,12.84,4.23
10.53,11.43,4.27
10.33,10.93,4.11
11.11,10.15,4.36
10.99,10.03,4.64
11.7,9.53,7.18
13.85,0.63,7.66
13.97,0.82,7.53
14.91,0.77,7.93
14.58,0.63,7.98
14.13,0.82,8.45
14.58,0.64,7.98
14.08,0.72,7.61
13.87,1.2,3.44
11.06,11.89,3.61
10.35,11,3.76
10.33,10.32,3.73
11.16,9.86,3.71
11.11,10.51,3.54
12.2,9.87,5.27
14.13,0.74,5.52
15.47,0.65,5.65
14.83,0.67,5.76
14.48,0.71,5.32
14.53,0.82,4.89
14.66,2.14,2.43
11.75,12.64,2.23
11.75,11.13,2.55
11.29,10.8,2.29
11.11,10.63,4.4
13.92,0.72,4.56
14.53,0.66,4.65
13.44,0.8,5.17
13.42,0.8,4.64
14.35,0.75,4.17
14.45,0.78,3.04
11.87,12.91,2.45
12.2,11.32,2.81
11.85,10.43,3.04
12.76,9.78,6.63
14.68,0.61,6.28
13.77,0.65,6.52
13.29,0.68,6.9
12.83,0.76,5.78
12.86,2.13,5.25
13.67,2.19,3.37
10.71,12.52,2.7
11.32,11.26,3.29
11.7,7.96,3.26
12.96,6.29,5.31
14.71,0.79,5.49
15.7,0.72,4.85
14.81,0.76,4.44
14.96,0.74,3.76
14.66,1.9,3.61
14,1.93,2.25
12.13,9.09,2.16
12.73,8.35,3.78
13.57,0.75,4.24
13.77,0.81,3.88
13.9,0.76,3.4
14.3,0.8,2.97
14.4,1.72,2.65
14.33,1.71,2.55
14.53,0.85,2.41
15.37,0.89,2.11
15.16,0.91,1.89
15.29,1.08,1.6
14.86,2.09,1.5
14.45,2.02,0.93
13.09,6.71,0.9
13.54,6.1,1.05
13.72,2.6,0.85
13.75,2.65,0.97
14.18,1.48,1.16
14,1.52,1.32
13.44,1.5,1.47
13.85,1.44,1.42
13.34,1.6,1.28
13.82,1.46,1.26
14.25,1.49,1.5
14.43,1.46,1.37
14.48,1.59,1.16
15.01,1.48,1.42
